1922 2012
1922: 111 368
1923: 106 291
1924: 144 432
1925: 83 324
1926: 96 341
1927: 131 415
1928: 109 340
1929: 110 378
1930: 145 466
1931: 92 333
1932: 123 393
1933: 89 374
1934: 62 248
1935: 148 453
1936: 123 394
1937: 137 429
1938: 142 390
1939: 109 363
1940: 105 372
1941: 140 433
1942: 82 313
1943: 101 345
1944: 127 378
1945: 58 234
1946: 125 412
1947: 137 405
1948: 123 398
1949: 69 262
1950: 140 401
1951: 102 332
1952: 75 274
1953: 138 431
1954: 136 432
1955: 65 261
1956: 57 249
1957: 76 287
1958: 99 345
1959: 87 311
1960: 123 429
1961: 133 473
1962: 77 319
1963: 72 286
1964: 88 353
1965: 127 460
1966: 138 429
1967: 101 354
1968: 113 367
1969: 109 381
1970: 120 414
1971: 52 237
1972: 139 439
1973: 107 353
1974: 52 240
1975: 54 195
1976: 68 266
1977: 140 436
1978: 60 258
1979: 75 260
1980: 50 221
1981: 120 390
1982: 122 438
1983: 88 377
1984: 111 371
1985: 144 473
1986: 133 408
1987: 62 308
1988: 109 370
1989: 82 285
1990: 77 299
1991: 90 366
1992: 123 389
1993: 107 361
1994: 119 383
1995: 130 414
1996: 76 289
1997: 76 293
1998: 146 432
1999: 64 252
2000: 56 259
2001: 53 246
2002: 132 418
2003: 104 355
2004: 119 386
2005: 61 247
2006: 117 381
2007: 86 313
2008: 132 415
2009: 73 285
2010: 134 466
2011: 107 335
2012: 150 458
